,date,fremont_bridge_nb,fremont_bridge_sb
240,2013-01-21 06:00:00,22,10
241,2014-06-09 06:00:00,127,48
242,2016-07-30 03:00:00,1,3
243,2014-01-12 07:00:00,1,1
244,2014-04-09 05:00:00,18,8
245,2013-01-22 12:00:00,27,22
246,2014-05-18 19:00:00,25,21
247,2015-05-05 20:00:00,23,37
248,2016-05-26 00:00:00,5,3
249,2016-02-14 21:00:00,6,7
250,2014-11-14 16:00:00,78,122
251,2016-01-12 09:00:00,106,63
252,2014-06-26 11:00:00,74,62
253,2014-03-27 10:00:00,48,27
254,2013-06-01 17:00:00,110,93
255,2014-02-03 06:00:00,42,24
256,2015-04-09 16:00:00,146,185
257,2016-01-12 21:00:00,10,10
258,2013-03-17 12:00:00,79,60
259,2013-09-25 15:00:00,44,59
260,2017-03-14 14:00:00,10,15
261,2016-04-02 12:00:00,99,73
262,2016-12-15 16:00:00,51,126
263,2013-12-23 20:00:00,18,26
264,2014-06-17 02:00:00,0,1
265,2013-07-03 23:00:00,20,27
266,2013-07-13 14:00:00,114,110
267,2014-02-18 12:00:00,11,14
268,2014-07-19 04:00:00,1,2
269,2015-03-30 12:00:00,61,0
270,2013-04-28 19:00:00,26,12
271,2014-08-18 11:00:00,46,59
272,2013-12-06 06:00:00,30,18
273,2017-01-06 02:00:00,0,0
274,2015-04-11 19:00:00,44,32
275,2016-06-19 04:00:00,1,1
276,2016-09-10 19:00:00,40,36
277,2017-01-25 03:00:00,0,0
278,2016-10-23 22:00:00,6,8
279,2016-10-09 02:00:00,1,0
280,2014-02-27 19:00:00,52,92
281,2014-10-30 14:00:00,27,19
282,2014-03-23 19:00:00,37,24
283,2013-05-28 20:00:00,44,51
284,2014-08-04 01:00:00,4,5
285,2016-01-25 08:00:00,292,137
286,2017-01-07 04:00:00,0,0
287,2017-02-04 07:00:00,3,4
288,2013-06-28 01:00:00,1,5
289,2015-11-16 06:00:00,67,36
290,2013-05-03 21:00:00,53,46
291,2017-02-19 12:00:00,40,51
292,2013-05-18 01:00:00,7,7
293,2013-02-28 23:00:00,4,7
294,2015-07-06 12:00:00,49,57
295,2014-12-14 13:00:00,73,85
296,2013-01-07 22:00:00,9,13
297,2017-04-30 03:00:00,1,1
298,2014-06-28 01:00:00,10,6
299,2015-05-25 21:00:00,14,29
300,2014-08-12 11:00:00,46,34
301,2014-02-09 02:00:00,2,2
302,2013-12-12 09:00:00,125,80
303,2015-10-12 17:00:00,153,428
304,2016-10-13 10:00:00,23,21
305,2013-10-11 01:00:00,5,1
306,2014-11-26 08:00:00,191,101
307,2017-01-10 03:00:00,0,0
308,2017-04-22 08:00:00,46,37
309,2013-04-03 19:00:00,86,124
310,2014-02-25 21:00:00,22,21
311,2012-11-05 16:00:00,112,134
312,2016-02-15 17:00:00,31,100
313,2015-06-10 16:00:00,149,243
314,2016-01-13 19:00:00,19,44
315,2014-01-30 05:00:00,18,1
316,2013-11-01 00:00:00,17,9
317,2017-05-14 16:00:00,42,39
318,2017-01-07 03:00:00,0,0
319,2016-05-19 05:00:00,24,9
320,2014-09-30 21:00:00,21,48
321,2012-10-06 23:00:00,15,19
322,2017-01-20 02:00:00,0,0
323,2017-04-29 12:00:00,60,61
324,2013-04-28 02:00:00,2,5
325,2012-10-16 23:00:00,13,12
326,2015-11-29 00:00:00,2,2
327,2014-10-09 07:00:00,273,104
328,2017-03-18 15:00:00,29,32
329,2013-07-01 18:00:00,164,310
330,2014-07-20 11:00:00,63,39
331,2014-11-23 22:00:00,5,7
332,2013-06-20 04:00:00,4,2
333,2015-05-25 17:00:00,61,79
334,2015-02-05 19:00:00,32,80
335,2016-02-11 20:00:00,10,39
336,2015-11-08 02:00:00,0,0
337,2016-06-28 20:00:00,66,102
338,2013-12-25 04:00:00,0,1
339,2015-09-26 11:00:00,75,70
340,2015-03-27 12:00:00,2,75
341,2012-11-22 05:00:00,1,3
342,2013-12-27 17:00:00,40,87
343,2012-10-22 20:00:00,14,26
344,2016-06-28 10:00:00,73,43
345,2014-07-23 04:00:00,3,1
346,2013-02-12 00:00:00,5,3
347,2015-01-18 04:00:00,2,0
348,2015-12-04 14:00:00,45,40
349,2016-10-10 21:00:00,9,35
350,2014-01-24 12:00:00,52,30
351,2013-02-18 20:00:00,11,17
352,2016-04-07 16:00:00,157,287
353,2014-07-14 17:00:00,198,460
354,2016-06-17 09:00:00,149,122
355,2014-02-02 01:00:00,2,6
356,2015-04-03 15:00:00,42,61
357,2015-02-18 23:00:00,7,10
358,2017-01-06 23:00:00,3,8
359,2017-03-20 22:00:00,16,11
360,2013-07-17 10:00:00,74,53
361,2016-05-12 19:00:00,148,177
362,2016-01-02 21:00:00,0,9
363,2014-07-15 17:00:00,219,513
364,2017-02-07 22:00:00,3,6
365,2015-12-18 22:00:00,10,7
366,2017-01-27 13:00:00,35,45
367,2016-01-18 04:00:00,2,2
368,2017-01-18 03:00:00,0,1
369,2014-07-17 05:00:00,28,17
370,2013-04-08 12:00:00,32,44
371,2016-01-20 19:00:00,37,87
372,2015-01-21 19:00:00,46,94
373,2013-10-05 00:00:00,12,20
374,2015-05-10 05:00:00,2,4
375,2015-10-17 00:00:00,13,26
376,2013-11-09 02:00:00,8,6
377,2013-08-16 08:00:00,289,132
378,2016-10-07 10:00:00,49,40
379,2015-07-21 18:00:00,168,302
380,2015-08-22 05:00:00,7,2
381,2016-03-27 17:00:00,9,15
382,2014-04-13 22:00:00,6,17
383,2016-11-03 10:00:00,57,53
384,2015-02-06 11:00:00,29,0
385,2016-02-25 14:00:00,42,53
386,2013-06-16 04:00:00,3,2
387,2016-02-21 07:00:00,10,4
388,2016-12-07 04:00:00,4,1
389,2014-03-19 13:00:00,26,20
390,2013-11-13 05:00:00,25,7
391,2015-06-17 16:00:00,139,229
392,2017-05-01 11:00:00,15,29
393,2013-09-10 09:00:00,193,101
394,2012-12-19 04:00:00,3,3
395,2016-03-31 15:00:00,84,86
396,2014-07-01 10:00:00,84,64
397,2016-06-09 01:00:00,4,5
398,2013-08-31 00:00:00,9,15
399,2013-02-09 09:00:00,38,27
400,2016-02-03 05:00:00,19,12
401,2014-08-21 16:00:00,119,191
402,2013-02-05 23:00:00,7,9
403,2016-04-12 08:00:00,282,120
404,2017-01-31 02:00:00,0,0
405,2013-11-25 00:00:00,5,3
406,2015-06-23 23:00:00,16,14
407,2015-02-03 00:00:00,2,4
